,business_id,stars,gc_Number,gc_Street,review_count
27,RAh9WCQAuocM7hYM5_6tnw,4.0,4300.0,Sharon Rd,1473
28,USleI8g1UVN9-9jm-b4uIg,4.5,1601.0,E 7th St,353
29,LQI8R7yYXmWzWKd7wLCf2Q,4.0,1220.0,Thomas Ave,463
30,osSwv6CJy5hDKQdOKeyTow,3.5,2442.0,Park Rd,523
31,Tnc-QnFufxhnj32GC90C-Q,4.5,1510.0,W Morehead St,183
32,#NAME?,4.0,1322.0,Central Ave,221
33,2232XZ-3ub4S9cmrHJSDFg,4.5,9009.0,J M Keynes Dr,123
34,Cdk3wRR7TwJb1JW7agPJXw,3.5,1226.0,Central Ave,186
35,DXCho3TSX6qKsRoEjGoGJg,3.0,8927.0,J M Keynes Dr,128
36,g-E12y45gBKedax5N20YmQ,4.0,5920.0,South Blvd,213
37,1_02wXxt7euom-9hWZeReA,3.0,4125.0,Yancey Rd,145
38,tCSlpwJQ4CZsUEMZeH2SFg,4.0,4705.0,Ashley Park Ln,430
39,2j78b8m1w4Sr2GVGCzFBtQ,4.0,333.0,W Trade St,164
40,6c9e9qH_AdBYQnm7dyiDAQ,4.0,2801.0,South Blvd,111
41,b42EKdSk61zd_FEqEwioYQ,4.0,6902.0,Phillips Place Ct,225
42,LMZt_-BaxOIAnsoF8l8y1w,3.5,1437.0,South Blvd,134
43,pzy9xWQqsDxVU6j9MktRJg,3.5,118.0,E Woodlawn Rd,267
44,DMwU0igEs9K7XuI3utsr6g,2.0,5501.0,Josh Birmingham Py,363
45,H4E4sZ6PKBef65hU0GKi_g,3.0,215.0,E 4th St,132
46,NvOdaJ7uIrBuofR8_Q7g2Q,3.5,101.0,N Tryon St,110
47,apMG3W6-qpHIuo4ApZy3IA,4.0,6401.0,Morrison Bv,287
48,FGy4UJ1Qri_KruPZiPmWYQ,4.5,12206.0,Copper Way,379
49,uwpPniaFEVkK5T_PWdQZ0A,3.5,8140.0,Providence Rd,129
50,EPBEz9ifFo6JqPUUH_BdMg,3.5,1412.0,East Blvd,105
51,UT22ExffDZjB1tzBDwSWfA,3.5,4940.0,Ashley Park Ln,102
52,ns7l8kUDyLnrvWRNACZ6uA,4.5,5126.0,Park Rd,118
53,Ava9H-t4scVmP7u_onh7pg,4.0,110.0,Perrin Pl,207
54,FKOF8_OMvoPoDHOplDd7tQ,4.0,1101.0,Central Ave,282
55,dy9VGj4N-sJD1bGse9y9Zw,4.5,10020.0,Monroe Rd,152
56,9_onoqwv9ZdItxc8OlUKAg,4.0,1601.0,Elizabeth Ave,183
57,h1SkCP4VoHG6tsA7EXViTA,4.0,15105.0,John J Delaney Dr,155
58,gG9z6zr_49LocyCTvSFg0w,4.0,622.0,E 28th St,1437
59,9UU2DPhwmTmkuANzYiZSMQ,3.0,620.0,University Center Bv,200
60,MTSBA8Mbn1SuPczGnk4F8A,3.5,1516.0,Elizabeth Ave,112
61,nzaquapFlE_67JIBdxV_ZQ,4.0,4105.0,Rental Car Rd,125
62,iJpTpE9A8WDWvUlvUcFZuA,3.5,4720.0,Piedmont Row Dr,228
63,3vkP6t_kKN3JT8MMUaBVEA,4.0,915.0,Charlottetowne Ave,271
64,56HZLqQOcS1FSXqYG-3vLg,4.5,5000.0,Whitewater Center Pkwy,334
65,GzAs1oSFEjgnVS5HwrYKTw,4.5,2921.0,N Tryon St,108
66,Q1L_Nb1QsD0S9pbng5-kMQ,3.0,2127.0,Ayrsley Town Bv,161
67,8rIDfnWHSo-K0Xb9Y1gjrA,4.0,110.0,S Sharon Amity Rd,246
68,bzbNGyrTwWHAgg1CqkSgeg,4.0,4625.0,Piedmont Row Dr,596
69,hggVnGwA5042-ABxqeJX-A,4.5,1701.0,Montford Dr,622
70,Xrr19fzrUUgTTQBLUd2Gzg,4.0,8508.0,Park Rd,102
71,1MvR4NJQbHy0i7ME1IoYpw,3.5,4538.0,South Blvd,317
72,buacGSEw8yLGJo8g-i02wg,4.0,1116.0,Metropolitan Ave,387
73,KU7eFCdA47v6zeKF3a7j6A,4.0,8038.0,Providence Rd,163
74,vxadNrpTY7OHNmWsrEpNnA,3.5,4429.0,Central Ave,240
75,9S7RUjzkdpU4MDxUxkvLvg,2.0,409.0,W W T Harris Bv,114
76,2R8gyJSYmLTu-UJgNfmpCA,3.5,1009.0,Chancellor Park Dr,103
77,VeFqptSzekFAc3FZOpi81Q,4.5,401.0,W 9th St,343
78,bMIVYOyr0pOYHUDNsmSDwg,4.0,2911.0,Griffith St,151
79,bcTeQtSdHW5pyLjXz05QEg,4.0,2410.0,Park Rd,212
80,vMyeUHW3QxbXD4_KxmwduA,3.5,2015.0,Ayrsley Town Bv,111
81,gwd1W_0Mgzqo3QxgXrt16Q,3.5,521.0,Fenton Pl,289
82,5zjYrtSK1NdVoWNmo96rYA,3.5,9824.0,Rea Rd,122
83,dPWHFb_sDduzcJdOZSqR5Q,4.0,10809.0,S Tryon St,159
84,vqG1Z2XpS_PryPsfY0CSng,4.5,201.0,N Tryon St,374
85,csp7yhSDFkjdEKKGG7n6NA,4.0,317.0,S Church St,201
86,B1imfnKRvcotaYacPGUrLQ,4.0,1535.0,Elizabeth Ave,180
87,GxiYMg1OyXN958bN8-7Vhw,5.0,304.0,E Worthington Ave,117
88,X1za2NGiRInATrNnpRKLyA,4.0,2133.0,Southend Dr,200
89,a4grXFNKZmZm0ZJXd1PVdQ,3.5,601.0,S College St,193
90,uz8ISWdE0OSJBjArw4P4Og,3.0,207.0,W Martin Luther King Jr Bv,187
91,XlOI0qLdQch7YDAs5A011Q,4.0,830.0,Lamar Ave,233
92,2um9bzTSvD3f2tkdBoA38g,4.0,1608.0,East Blvd,332
93,bfVpHvjir2G2Z9wVeddw4w,4.0,4150.0,Yancey Rd,410
94,EMdlJvCTuT_sylNzcElSLg,3.5,6705.0,Phillips Place Ct,133
95,UpNnjV6p5GVPX6r_itOGUg,4.0,1520.0,S Bv,154
96,kNwfUukvLd3q38PX0QEDDQ,4.0,1750.0,Camden Rd,105
97,bcTwvbD5wfMSgSO-YczLYw,4.5,1531.0,Central Ave,192
98,LcMZCiIxmdhHcRrLghwp2Q,4.0,11308.0,N Community House Rd,109
99,Daasejc2-RV-MxEKpPjXtA,3.5,1627.0,Montford Dr,136
100,tIiiq23utFKTs1At2bVD6w,4.0,16646.0,Hawfield Way Dr,243
101,ThZdaQiCbu8mL8rbLNyrgA,3.5,2135.0,Ayrsley Town Bv,182
102,Ggh9JwuIwPBiMmx16kAiug,3.5,6601.0,Morrison Bv,146
103,ALwAlxItASeEs2vYAeLXHA,4.0,1525.0,Camden Rd,858
104,WlMegJTLkMdo6FO6Vfnq0Q,3.5,5009.0,Beatties Ford Rd,132
105,6kq9oLduJAYkb2WjAb36KA,4.5,4520.0,N Tryon St,320
106,5fquJHY2hMX9tPRD5s0t5g,4.0,150.0,N College St,421
107,kNa3FvRAhM2oKYFoilVDzQ,4.5,2177.0,Hawkins St,178
108,QeDkfLmXVguytF3Of9zg-Q,3.5,453.0,E 36th St,287
109,1czIVv2iyOHc3WMgtUWXCQ,4.0,2214.0,Park Rd,101
110,XSCYYvstSpCVW8wC7rJT7w,3.5,6430.0,W Sugar Creek Rd,111
111,h5VZ0MqRt4vEUUG8oH6eEA,3.5,7828.0,Rea Rd,128
112,eQo4kIwIWJbAnfXYl3k5BA,4.0,3124.0,Eastway Dr,148
113,4vDffQ7eSQ7n39cyroOSKQ,3.5,500.0,W 5th St,393
114,LPhFORzrfa5_c6o2YXLBUA,2.5,11318.0,N Community House Rd,105
115,uejutOD4_-IUaY5cKkpezg,4.5,14825.0,Ballantyne Village Way,226
116,I8DIq321Tkm-wi9z5gTv9A,3.5,324.0,N Tryon St,263
117,UAU1aSlqgrZwZ847npH37w,3.0,1411.0,S Tryon St,167
118,DQIZ35zW26988gl4q_fDHA,4.5,1320.0,S,133
119,7olK8lUgnv5O8PyvN8t_Yg,2.5,8420.0,Rea Rd,114
120,sdYkVaTy7EJwUkO8Ie_qPg,4.5,1617.0,Elizabeth Ave,824
121,dztcNrIVDg6D-6sFOOofDA,4.0,220.0,East Blvd,127
122,CxsN79g8rZoouLwZvr_FVg,4.0,1417.0,E Bv,352
123,z7NIceJU_4vSk-EJ8H6hQA,3.5,8706.0,Pineville-matthews Rd,119
124,8hnEVC9ytSfv8y-qQZef5Q,3.0,7415.0,Waverly Walk Ave,118
125,DyOzNIeXUksPNLXYHnB-oQ,4.5,415.0,Hawthorne Ln,721
126,csf6o4VOiXk0oZaoyMiCww,4.5,1225.0,Central Ave,120
127,MTCyh5VqkKp1LIvfeI-TTg,3.5,227.0,N Tryon St,142
128,ne7lSA6lAOMYYs43kNTtPQ,3.0,224.0,S Church St,338
129,WPkRg0eaJZFbyXm0uNb1ZA,4.0,6676.0,Carmel Rd,124
130,cR3gsxxko2vdw9_CclY0Fg,4.5,1801.0,N Tryon St,111
131,yymNrvk1cioG5Bn5lWH2QQ,2.5,210.0,E Trade St,145
132,wrs4Zbz17q_G49AIRxRPVw,4.0,5546.0,Albemarle Rd,151
133,kKCJvvktaKxZ5iFKv3lxuA,3.5,13855.0,Conlan Crk,124
134,kPfhSK0kcUmOTmC5DEjaDw,4.0,5927.0,South Blvd,223
135,a1v8QIdbA_HTg_YyNlBY_w,3.5,1730.0,E Woodlawn Rd,158
136,RAKSBqeNb-p_ZABwAWH_jA,3.5,120.0,N Sharon Amity Rd,111
137,zMnojW6x-1-nVu0uCd60Ew,3.5,1225.0,The Plz,275
138,VWMSLDPCvfqjw5DDHShQkA,3.5,2201.0,South Blvd,122
139,yQab5dxZzgBLTEHCw9V7_w,3.5,5501.0,Josh Birmingham Py,1732
140,Y7lpoA_lJ1rx3NNqHMgGwA,4.0,1600.0,E Woodlawn Rd,108
141,kfFRCUP1RXY_jNnBQCOsEw,4.0,6610.0,Fairview Rd,159
142,LUZ94dZpgCmBGyNH52S7lg,3.5,120.0,E Trade St,341
143,h8cJUgjj9KxxJoj62fHWRA,3.5,208.0,N Tryon St,193
144,qWSwDbtJRBvKTiMpH3rNLQ,4.0,613.0,Providence Rd,248
145,pldfvm-zM2VU5m9a-j9cMQ,4.5,212.0,S Tryon St,305
146,M0pkmBUi_CI0qrzN7ee80Q,4.0,203.0,E Martin Luther King Jr Bv,472
147,su6PPlJWHlDv1r_fu4f5ZQ,4.0,1601.0,E Woodlawn Rd,190
148,mC39IrCp36QIVFRZIw9PTQ,4.0,1400.0,S Church St,711
149,ZlrHrg7jrbO6blqwfa0MkQ,4.0,4724.0,Sharon Rd,146
150,GHBLPfbssjupzlhBfCoF3A,4.0,8724.0,Outlets Bv,101
151,f_R4-FMtQ2Dj6m8LNuse1w,3.0,15205.0,John J Delaney Dr,141
152,Ku_qQVoMA02kFZiu55_UwA,3.0,107.0,Winona St,123
153,Abm-1HRGPyevBtnC3Rpxag,3.0,102.0,W 7th St,332
154,Y3vtXQz3zPc5AVyUAsAj5Q,4.0,440.0,E McCullough Dr,279
155,Z66xO_B7trDah8F0PKwRqg,4.0,5434.0,New Fashion Way,106
156,MtSEQlqTj3Pup-wBY-dKfA,3.5,5489.0,Josh Birmingham Py,317
157,djPTbIprBXGqaV-D8eq77A,2.5,,,233
158,T2HXUBdJn7Tk2yR1kgD-Rg,4.0,4709.0,Sharon Rd,122
159,ZLNNXEZaCMhXuUovRTIGTw,4.5,2041.0,S Bv,290
160,-I27yVw2x_-31_OOMSH02w,4.0,224.0,E 7th St,237
161,MtvN8vMiKcLkkz_tCvBx3g,3.5,130.0,N Tryon St,331
162,GrJ74hxJsXXwcqS7zcfFhw,4.0,6000.0,Fairview Rd,144
163,-5L8zOxibac-vBrsYtxXbQ,3.5,2200.0,Park Rd,116
164,FBSWwaE6gR7KAOyG1QhakQ,4.0,2935.0,Providence Rd,226
165,w3PwDEbI0EDx4YI_BkFhIA,4.0,5126.0,Park Rd,192
166,9dqdzRzjSfbnMvjUGqWBAw,4.0,115.0,E Carson Bv,634
167,GqfGoFMC3cn_AZI7iUOWKg,3.0,8760.0,J M Keynes Dr,147
168,_kzB_xsb9DHUPfXB0XfQGA,3.5,7708.0,Rea Rd,250
169,bXbCGFk3ZjLcTdQQB-xPyQ,4.0,1910.0,S Bv,288
170,ny8YcGEViSGKWxo69xfiiA,3.5,228.0,West Blvd,268
171,PkJUpidg_HzdxtdF6wDxeg,3.0,210.0,E Trade St,135
172,f316rUVOmOM2VidXN2KAvg,4.0,1401.0,E Bv,160
173,JogUSDKa1xyG3lLEmD4Xjg,4.0,2412.0,Park Rd,242
174,Wq43-U_iu8ujaaR9aAjIvQ,3.5,9824.0,Rea Rd,102
175,25YVFgR2pkt3u1f2fDBfnw,3.0,4109.0,S Stream Bv,130
176,tjAeaGdxf7I4xN9M7wGJNQ,4.0,240.0,E 7th St,253
177,S3kcGHznDcyzsxkOhSZeLg,3.5,1961.0,E 7th St,151
178,sJpl9ufYT87UWhtW-5UkmQ,3.5,204.0,E 5th St,154
179,L8rJht4Jw_BuR8gsckEWYg,3.0,4400.0,Sharon Rd,402
180,K3iw26MkmSBPAM7BzHkIYQ,4.0,760.0,Governor Morrison St,166
181,CgCkOG9Z5gCO3fgq-ficpQ,4.0,1921.0,Central Ave,140
182,vodVvMALuQPScQJpLhfcyg,3.5,1509.0,Central Ave,108
183,FSB3Jb4t11KkMyEi_7-s6Q,4.0,2511.0,South Blvd,214
184,J7fekWie4ZwR03AZVBisFw,4.0,7910.0,Forest Pine Dr,182
185,fzRxHv7XnnDqTmX25tVbJg,2.5,4620.0,Piedmont Row Dr,323
186,rNoMSO6AsegKb9-p6Ir7SQ,4.0,1218.0,Thomas Ave,150
187,xJAXkMIgnWNpqyGCosmp2Q,4.5,5100.0,S Bv,220
188,gOOdzjVxP7Z7bGjsstRjcw,4.0,9605.0,N Tryon St,250
189,2gCvukOcIHW4ehqpwoNlcA,4.0,5600.0,South Blvd,158
190,UByM7N0mF-ylIGUuIWHCtA,4.0,1928.0,South Blvd,240
191,ppT0Rbx0-_W0W8DqY2fPiA,4.0,8170.0,S Tryon St,132
192,4RL5ydKIIFpU8bevsOKRdA,3.0,210.0,E Trade St,197
193,3pQ4KSnOX9Y2IEMJvGFxUg,2.0,5245.0,Josh Birmingham Py,182
194,U8c5AcNhWq1koQwNyzMqkw,4.0,8420.0,Rea Rd,199
195,8yEFijvcNQ9JIGVWc3EgUw,4.5,719.0,Louise Ave,204
196,XNboW0mRBApLxIzoXvhHNA,3.5,1714.0,South Blvd,208
197,ofpuVYCw6VCkybFVIdwYEQ,4.0,2921.0,Providence Rd,224
198,xkiYAerQQXL25legNhVsSw,4.0,6706.0,Phillips Place Ct,145
199,rZOzhSA5HP6IdpxuN4v66w,3.5,1300.0,S Bv,168
200,GIPY7lBIIY8ITSfu63q-YQ,3.5,6911.0,Phillips Place Ct,102
201,m3XOBJyAJIWEJJUpngVLLw,4.5,913.0,Central Ave,174
202,LKuzbx5Yt3yqiokUFdjVhg,4.0,808.0,E Arrowood Rd,104
203,gUrYm7z0g5a5_jdSXzi-HA,4.5,8942.0,J M Keynes Dr,107
204,XMrLwzmEAsfNpbKRC7vUzQ,3.0,517.0,University Center Blvd,194
205,749MsdV9v1SijXaLrY23pw,3.5,6903.0,Phillips Place Ct,159
206,WItlLMrwWUbZhi7aSAzs2Q,3.0,2135.0,Ayrsley Town Bv,225
207,hcjnOtiW7Bdym3-7PaLUzA,4.0,350.0,E McCullough Dr,351
208,nMo0ozHO7cqsPaxw_7N6ow,3.0,2920.0,Central Ave,186
209,Z5BHNFjt7ZmAse2kKlw2uA,4.0,828.0,S Mint St,109
210,QlIW78umKyE5d0BLpPh1-w,4.0,2107.0,S Bv,143
211,l_kefVF1frmC0xRW2YkvUA,2.5,210.0,E Trade St,230
212,tMlVZWa4SsI01qYMRQerKg,4.5,224.0,E 7th St,187
213,gnKjwL_1w79qoiV3IC_xQQ,4.0,10110.0,Johnston Rd,157
214,yesClkCZlpLGTYZROkx4SA,4.0,2501.0,Central Ave,413
215,hhoKM8RdfYo97Y72LqmOgw,3.5,7824.0,Rea Rd,130
216,kp-FRmyPxjsAoEK1-21rSQ,4.0,9213.0,Baybrook Ln,154
217,kSIvxL9F9zggPIqPGU-WEA,4.0,440.0,S Church St,116
218,1Geg7R5ACFL0oassVziNiQ,4.0,1442.0,S Bv,280
219,zpGCFAt_MydbQN4EsXee6w,4.5,121.0,Ken Hoffman Dr,178
220,50pDd3dmJCb6m9JxBUq7KA,4.0,217.0,Southside Dr,115
221,J4WxIqKaKSGNjtxTBPhLBQ,3.5,7520.0,Pineville-matthews Rd,113
222,EbgUkmDxPUa2fr0rc8EFJQ,3.0,6904.0,Fairview Rd,193
223,k-drEjxKmfqllwfY90STfA,3.5,4271.0,Park Rd,491
224,IrHAhdmL9QH9g3NscAIsWA,2.5,120.0,E Trade St,167
225,s6lTNO57vXsfzyYrPfXOvA,4.0,5615.0,South Blvd,333
226,G_LtZnL66Iwama_7_FCLUQ,4.0,4515.0,Sharon Rd,281
227,pDoDY-cDLyeKQgDx5RAlnQ,3.5,12721.0,Albemarle Rd,152
228,c9SKd0bIR6nNzXOVCbOi_A,3.5,8300.0,Ikea Bv,332
229,gh6RZ1HvVlZDtjOvrRcF3w,4.0,8933.0,J M Keynes Dr,168
230,y1eeVRfJa22CCpUCeNfrSw,3.5,210.0,N,518
231,IzOAFrYWu0Q7bFVQApZRBA,4.0,4202.0,Air Ramp Rd,102
232,umYyXD1zcTbRHQW4etg0hA,4.0,274.0,S Sharon Amity Rd,109
233,ebwM2pckHieHvK6h1scuBw,3.5,9311.0,J W Clay Blvd,114
234,WCqcYtJ4rUxA4bIzjOfzqg,3.5,201.0,S Tryon St,404
235,08-b4GbZxOzzo9XSJsR-tw,3.5,11324.0,N Community House Rd,173
236,WxKQSp2_6lQxcng703Hv8g,3.5,1500.0,S Bv,121
237,yXiDD18UV49-7UhA6dWjAw,4.0,10230.0,Berkeley Place Dr,134
238,sAXy1yJRLllTm5WrJbJGAA,4.0,4725.0,Piedmont Row Dr,316
239,24UDZTAMDUaugpkchFk60w,2.5,4423.0,Sharon Rd,218
240,ADgacmZ-qXrSOhMfU6bmTA,3.5,123.0,W 5th St,593
241,#NAME?,4.0,3220.0,N Davidson St,139
242,HzvCskRg2IdWFfBcEY5Ryw,4.5,2723.0,South Blvd,170
243,sH3UsolKjik01u0HlQ9_0Q,4.0,2917.0,Central Ave,383
244,zPUjrM223oSulvRRhpkAmQ,4.0,3000.0,S Tryon St,104
245,FA_D4vDxRyI-hC0SZJnjnA,3.5,210.0,E Trade St,141
246,lPZ6RQ_jj9xlhvLEB3c4Wg,4.0,8410.0,Rea Rd,140
247,l-HGrLblZ5HkagtjKqHYXg,4.0,8708.0,J W Clay Blvd,138
248,L8qXp6Wh5zZt4BzllZPGNQ,4.0,346.0,W Bland St,126
249,SlQNMsVEOSxN-ciIn93LOw,3.5,8933.0,J M Keynes Dr,101
250,uGzxwS3Q6QuyFw2ZnDvw0w,4.0,3213.0,N Davidson St,309
251,sPwh9yiJYeyAN4CBq_tUYg,3.5,12542.0,N Community House Rd,128
252,gJttMZnv0Gy9OlLhNzPbQQ,3.5,2840.0,Selwyn Ave,260
253,MGCwVAFyZBzbrX8meNZ4cA,3.0,2031.0,South Blvd,183
254,kWclF3kJdLYPaoz-pepCDg,4.0,8432.0,Statesville Rd,105
255,kRhjWeAPs-U5RmakIKz0Pg,4.0,1933.0,South Blvd,150
256,OuQfFgsJpgWmdCHGegLjXg,3.0,4400.0,Sharon Rd,114
257,8xTuXU5uZ85WF-ZGqDNv_w,4.0,1616.0,Camden Rd,134
258,Iyt5sJVjyCvVS2p8Xw0I6A,3.5,722.0,Charlottetowne Ave,178
259,ZICX0zom1rky89kdOQ-U_g,3.5,6518.0,Fairview Rd,156
260,0LPVkxZ-Ab9Jx6_ytA-Yew,4.5,440.0,E McCullough Dr,158
261,jUF7BSWB2s7Xgp5PbISbsg,3.5,9609.0,N Tryon St,105
262,ZCXjNG1EBFiKKMtR9DOTGg,4.0,230.0,E W T Harris Blvd,298
263,XlbDdblfNsOGiZ84CorRBQ,3.5,7800.0,Rea Rd,104
264,lLZMIv_SovV9W6l5ZFSH_A,4.5,16615.0,Lancaster Hy,106
265,T2tEMLpTeSMxLKpxwFdS3g,4.0,3201.0,N Davidson St,1034
266,yufkwo_ZszA1QHJwcuyOWQ,4.0,4903.0,Ashley Park Ln,108
267,DB1kg0GJZXNrFYZqsxeavg,4.0,7945.0,N Tryon St,153
268,Mbat8t9X0zPrpxd1mEGRcw,3.5,8601.0,University Executive Park Dr,150
269,o8nauTizH7H_GEAeV6HfMg,3.5,15025.0,Lancaster Hwy,123
270,yOBDY3fpaTpX4Q5JpmExMg,4.0,7001.0,South Blvd,101
271,IVbvOKxV9mN1OuZBl-3_rA,3.5,7520.0,S Tryon St,136
272,a2h9nrVMpNvfwMBo1e8ffg,3.5,820.0,Hamilton St,134
273,LjOBNcNNpuewBqSPxYYTJQ,3.5,7715.0,Pineville-matthews Rd,206
274,So52MxrZGy8bPpyDPQP-Lg,4.5,170.0,W Summit Ave,211
275,uDb1lOfDhl_VLmAbYvp-vQ,4.0,2909.0,N Davidson St,256
276,01fuY2NNscttoTxOYbuZXw,4.0,1600.0,W Morehead St,920
277,E3BTs8yFlVbZd20TknY00A,4.0,13830.0,Steele Creek Rd,284
278,ObcMSGc1uotvpnwydoStIg,4.5,1609.0,Elizabeth Ave,175
279,KbLI0QELlAwbfDUVwo43DQ,4.0,8036.0,Providence Rd,265
280,YqjDX0TPge-EB73uzgyS3w,4.0,204.0,W Woodlawn Rd,170
281,b8fEuQPrf383f6pzdm8-1w,3.5,107.0,S College St,381
282,3C0bnFhjkgYP9mWORKg6cA,5.0,114.0,S Tryon St,136
283,zaLFPpm-t89qSDOaFVgwDQ,3.0,5501.0,Josh Birmingham Py,328
284,HrR_2-HUE6cqnoz1zMN9AQ,4.5,1055.0,Metropolitan Ave,185
285,5HGQHjavoTgcKHFa-x7r8A,4.0,4201.0,Congress St,182
286,NIfmK27zNuQbawNwEvpRtg,4.0,2300.0,W Tyvola Rd,123
287,fnxKfHf-ANBph4EqVARvQQ,4.5,1133.0,Metropolitan Ave,165
288,HmAQq1Wbz2oAFX-KqTAM_A,1.5,5501.0,Josh Birmingham Py,310
289,lBf_TcBWS7XF-TA4qT8MgQ,4.0,14142.0,Rivergate Py,125
290,3b14ebd1k9y7VJbp5hC0gg,4.0,5501.0,Josh Birmingham Py,262
291,bQPMEI9yMakI4GD2jVS9jw,4.0,11331.0,Costigan Ln,183
292,sPwgafejYVdf8hd4-oDYVg,4.0,10403.0,Park Rd,219
293,jXHmmircEbhQmZjWDR1xIA,4.0,1322.0,Central Ave,460
294,MtzjOi57BkQrqF8wqNOyHg,4.0,2908.0,Oak Lake Blvd,326
295,b6qKEYhc5cji_i04PjF6ww,3.0,8205.0,University City Blvd,126
296,#NAME?,3.0,8128.0,Providence Rd,117
297,nZDmR6dJYgeG9dAaUMlSbw,4.5,1441.0,Winnifred St,181
298,QFqtVX-lyZQgVHQrG-dhlg,3.5,1901.0,Commonwealth Ave,341
299,NMw6zTXoZDEzNchVIfL1pQ,3.5,8943.0,S Tryon St,109
300,31acLzszeCCpeXmyAnoTdg,4.0,715.0,Providence Rd,135
301,rPqXbho0dwETvjUxW88Ttw,3.5,9636.0,Monroe Rd,132
302,EzUZU_y0ooTGbboxFck1Pg,2.5,1801.0,South Blvd,104
303,yuwmVUmsFVawe4zxnWZfNg,4.0,7629.0,Pineville-matthews Rd,118
304,PqcOSnCsJTT9Yd2xWKIMWw,4.5,3115.0,N Sharon Amity Rd,264
305,WPV0ucYjnb2HOrNxSopv6A,4.0,1701.0,E 7th St,177
306,RbMo9QIPDWP7nAAolS7IFA,3.5,366.0,N Caswell Rd,108
307,eZDXz_RylvdD0tHEA8I0NA,4.0,1717.0,Sardis Rd N,437
308,4X9tVVQHIewliXqaancfQA,2.5,5475.0,Josh Birmingham Py,138
309,jNQnscvgn_dMTS954qW_9Q,3.0,1318.0,W Morehead St,112
310,UFVy-8WC7pDzvBUzOvdwzA,3.0,1523.0,Elizabeth Ave,139
311,OMEbwr0Aybw_wnqvno-6zQ,3.0,7314.0,Waverly Walk Ave,123
312,FrfzI901uS2bU2kgUkqaVw,4.0,7804.0,Rea Rd,144
313,yY2fvUV7g5yAHIKcUfJqIA,2.0,,,120
314,PHhZy5zYULNF-oz-2Jz9KA,3.0,14835.0,Ballantyne Village Way,214
315,JsUytp_MuZ4AX5JWfi2eLw,3.5,900.0,Metropolitan Ave,113
316,SThmy10YhS13oFgT990Xhw,4.0,9604.0,Longstone Ln,163
317,bZtukyhyV1oVmUU3yRBPbQ,4.5,3232.0,N Davidson St,387
318,Vu8Z-zbNT_InsKm4IrdeCg,3.5,4400.0,Randolph Rd,101
319,biCO6zc-opMp-uJ6rkTENA,3.5,1610.0,E Woodlawn Rd,160
320,mQCT1psNh2pJT38ohSQDHA,3.5,10920.0,Winds Crossing Dr,114
321,Wuo8bVfUscGkJaWSSyNGlA,4.5,4203.0,Park Rd,206
322,IqH-J1D0HIP9wyJs2q_uGQ,3.0,1600.0,E Woodlawn Rd,126
323,8T5JnB9qL5y8RaCHH5zKSQ,3.5,3001.0,E Independence Bv,303
324,jZUizCQ4nRmyovBeuUniGQ,3.5,15719.0,John J Delaney Dr,175
325,R1jJQi2yR44D_2ileqr8kA,4.5,2010.0,S Bv,382
