,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
55976,"8152 S Tryon St, Unit D","{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}",e_9z2YCdspM_5H1XM-93vA,"Tobacco Shops, Shopping",Charlotte,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0'}",1,35.1440092,-80.9323084,"Tobacco Trader","Steele Creek",28273,4,4,NC,35.141953,-80.932503,1,nearest_street,,"I 485",Charlotte,NC,"Mecklenburg County",28273,US,"TIGER/Line® dataset from the US Census Bureau"
55987,"214 N Tryon St","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",h8cJUgjj9KxxJoj62fHWRA,"Restaurants, Spanish",Charlotte,"{'Monday': '17:0-22:0', 'Tuesday': '11:30-15:0', 'Wednesday': '11:30-15:0', 'Thursday': '11:30-15:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0'}",1,35.2279676,-80.84129830000001,Malabar,Uptown,28202,193,3.5,NC,35.227985,-80.841346,1,rooftop,208,"N Tryon St",Charlotte,NC,"Mecklenburg County",28202,US,"NC Geographic Information Coordinating Council"
56064,"5815 Highland Shoppes Dr, Ste 200","{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",jk2XQVrZNLV0Puh1PilNaQ,"Wraps, Restaurants, Food, Sandwiches, Juice Bars & Smoothies",Charlotte,"{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",1,35.3705530169,-80.78390170759999,"Tropical Smoothie Cafe","Highland Creek",28269,17,3,NC,35.370328,-80.784139,1,rooftop,5815,"Highland Shoppes Dr",Charlotte,NC,"Mecklenburg County",28269,US,Mecklenburg
56093,,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",ryhFIQc4NbAZIfq3JUvf1Q,"Food, Restaurants, Cheesesteaks, Desserts, American (Traditional)",Charlotte,"{'Monday': '11:0-19:30', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:30', 'Friday': '11:0-19:30', 'Saturday': '11:0-18:0'}",0,35.3202223,-80.88758609999999,"CCs Sweet Potato Pies",,28216,16,4.5,NC,35.320316,-80.887424,1,rooftop,6324,"Sunset Cir",Charlotte,NC,"Mecklenburg County",28216,US,"NC Geographic Information Coordinating Council"
56096,"6801 Northlake Mall Dr","{'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '3'}",_SxjtUtJwKwNfycVkWB1fg,"Shopping, Fashion, Women's Clothing, Accessories",Charlotte,,0,35.352549,-80.851181,Anthropologie,,28216,5,4.5,NC,35.352873,-80.851439,1,rooftop,6801,"Northlake Mall Dr",Charlotte,NC,"Mecklenburg County",28216,US,"NC Geographic Information Coordinating Council"
56100,"410 Westinghouse Blvd, Ste A","{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True'}",DXuawA-g_qtK4S9OAlVgaQ,"Fast Food, Sandwiches, Restaurants",Charlotte,,1,35.1133461,-80.9201257,Subway,,28273,4,2,NC,35.113334,-80.920096,1,rooftop,410,"Westinghouse Blvd",Charlotte,NC,"Mecklenburg County",28273,US,"NC Geographic Information Coordinating Council"
56131,"6023 Albemarle Rd","{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False'}",PYRjVUmJgctHVRnBVXpBEw,"Restaurants, Mexican, Seafood",Charlotte,"{'Monday': '9:0-23:0', 'Tuesday': '9:0-23:0', 'Wednesday': '9:0-23:0', 'Thursday': '9:0-23:0', 'Friday': '9:0-23:0', 'Saturday': '10:0-2:0', 'Sunday': '9:0-23:0'}",1,35.2032244032,-80.7427338362,"La Riviera Marisqueria",Eastland,28212,4,1.5,NC,35.2031,-80.743098,1,rooftop,6012,"Albemarle Rd",Charlotte,NC,"Mecklenburg County",28212,US,Mecklenburg
56134,"7643 Pineville Matthews Rd",,eJlj4kcDDuuylCsWDEZ5Fw,"Shopping, Costumes, Specialty Food, Arts & Crafts, Food",Charlotte,,1,35.086245,-80.849401,"Morris Costumes Halloween Express",,28226,3,2,NC,35.086252,-80.849404,1,rooftop,7643,"Pineville-matthews Rd",Charlotte,NC,"Mecklenburg County",28226,US,"NC Geographic Information Coordinating Council"
56140,"1222 East Blvd","{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True'}",6gLOJe9tOB4hdIUjjal1Ng,"Fashion, Men's Clothing, Shopping, Used, Vintage & Consignment",Charlotte,"{'Tuesday': '10:30-17:30', 'Wednesday': '10:30-17:30', 'Thursday': '10:30-17:30', 'Friday': '10:30-17:30', 'Saturday': '11:0-16:0'}",1,35.203112,-80.846204,Revolve,Dilworth,28203,16,4.5,NC,35.203316,-80.846363,1,rooftop,1209,"E Bv",Charlotte,NC,"Mecklenburg County",28203,US,Mecklenburg
56142,"9815 Northlake Centre Pkwy","{'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2'}",KigVxapJf9leyEsSlyoklQ,"Health Markets, Specialty Food, Vitamins & Supplements, Food, Shopping",Charlotte,"{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '11:0-18:0'}",1,35.3486274,-80.85797359999999,"The Vitamin Shoppe",,28216,9,5,NC,35.348653,-80.858015,1,rooftop,9815,"Northlake Centre Py",Charlotte,NC,"Mecklenburg County",28216,US,Mecklenburg
56153,"5820 E Wt Harris Blvd","{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",0vkRt9v0gIodsRtunw9wgQ,"Pizza, Restaurants, Chicken Wings",Charlotte,,1,35.235417,-80.734971,"Teddy's Pizza",Eastland,28215,25,3,NC,35.235351,-80.734936,1,rooftop,5816,"E W T Harris Bv",Charlotte,NC,"Mecklenburg County",28215,US,Mecklenburg
56164,"825 N Graham St","{'BusinessAcceptsCreditCards': 'False'}",2P88coDSUelsqF0Gh7l1_A,"Body Shops, Automotive",Charlotte,"{'Monday': '9:30-18:30', 'Tuesday': '9:30-18:30', 'Wednesday': '9:30-18:30', 'Thursday': '9:30-18:30', 'Friday': '9:30-21:30'}",1,35.236679,-80.83916499999999,"Moore's Body Shop",,28206,3,5,NC,35.236464,-80.839665,1,nearest_street,,"I 277",Charlotte,NC,"Mecklenburg County",28206,US,"TIGER/Line® dataset from the US Census Bureau"
56170,"613 Providence Rd","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",qWSwDbtJRBvKTiMpH3rNLQ,"Thai, Sushi Bars, Restaurants, Asian Fusion",Charlotte,"{'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",1,35.2013619,-80.8246661,"Deejai Thai",Elizabeth,28207,248,4,NC,35.201358,-80.8247,1,rooftop,613,"Providence Rd",Charlotte,NC,"Mecklenburg County",28207,US,"NC Geographic Information Coordinating Council"
56237,"South Park Mall, 4400 Sharon Blvd","{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1'}",t3VwifaVoozfeCFI6GqTlA,"Desserts, Food, Bakeries",Charlotte,,0,35.1518374,-80.8304036,"Jewell Treats","South Park",28213,11,5,NC,35.152022,-80.830753,1,rooftop,4400,"Sharon Rd",Charlotte,NC,"Mecklenburg County",28210,US,"NC Geographic Information Coordinating Council"
56238,"4400 Sharon Rd, Ste 238",,ZAqiYMwagvm3deLkzV353A,"Arts & Crafts, Fabric Stores, Shopping",Charlotte,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0'}",1,35.1522311,-80.8318968,"McK Initial Impressions","South Park",28211,7,3.5,NC,35.152227,-80.832317,1,rooftop,4400,"Sharon Rd",Charlotte,NC,"Mecklenburg County",28211,US,Mecklenburg
56275,"2910 Mount Holly Huntersville Rd, Ste A","{'Alcohol': 'beer_and_wine', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True'}",ZJufvkLNtlAsQU9h_ttdNg,"Chinese, Restaurants",Charlotte,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,35.3194754,-80.9526951,Chinatown,,28214,18,2.5,NC,35.319506,-80.952739,1,rooftop,2910,"Mt Holly-huntersville Rd",Charlotte,NC,"Mecklenburg County",28214,US,Mecklenburg
56296,"13521 Plaza Road Ext",,XS_xZtljZgCF0Wxl5qoBLQ,"Veterinarians, Pets",Charlotte,"{'Monday': '8:0-19:0', 'Tuesday': '8:0-17:30', 'Wednesday': '8:0-13:0', 'Thursday': '8:0-17:30', 'Friday': '8:0-17:30', 'Saturday': '8:0-12:0'}",1,35.2583878,-80.7350282,"Brookdale Animal Hospital",Eastland,28215,9,4,NC,35.258187,-80.735154,1,rooftop,7316,"The Plz",Charlotte,NC,"Mecklenburg County",28215,US,Mecklenburg
56331,"200 Hawthorne Ln","{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",oDx6NcNdjq5fHJNAhq8mmg,"Medical Centers, Health & Medical",Charlotte,"{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0'}",1,35.212018,-80.824243,"Novant Health",Elizabeth,28233,4,2,NC,35.212025,-80.824246,1,rooftop,200,"Hawthorne Ln",Charlotte,NC,"Mecklenburg County",28204,US,"NC Geographic Information Coordinating Council"
56337,"200 S Tryon St","{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}",pldfvm-zM2VU5m9a-j9cMQ,"Desserts, Creperies, Breakfast & Brunch, Cafes, Food, Restaurants",Charlotte,"{'Monday': '8:0-15:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}",1,35.2261961087,-80.84487018350001,"Hazelnuts Creperie",Uptown,28202,305,4.5,NC,35.226267,-80.844841,1,rooftop,212,"S Tryon St",Charlotte,NC,"Mecklenburg County",28202,US,Mecklenburg
